municipio,estado,quantidadeGerada,taxaReciclagem,ano
Abadia dos Dourados,MG,0.88,4.49,2021
Abadiânia,GO,1.47,8.91,2021
Abaetetuba,PA,0.77,2.73,2021
Abatiá,PR,1.54,2.53,2021
Abdon Batista,SC,0.96,4.18,2021
Abre Campo,MG,0.32,38.46,2021
Abreu e Lima,PE,1.09,1.01,2021
Acari,RN,1.83,16.67,2021
Aceguá,RS,0.66,0.35,2021
Açucena,MG,2.24,36.74,2021
Adamantina,SP,0.86,3,2021
Adustina,BA,1.59,0.02,2021
Afogados da Ingazeira,PE,1.19,0.4,2021
Afonso Cláudio,ES,0.6,13.76,2021
Agronômica,SC,0.98,23.78,2021
Água Boa,MT,2.05,2.49,2021
Água Branca,PB,0.14,6.08,2021
Água Doce,SC,1.4,5.55,2021
Água Doce do Norte,ES,0.69,7.19,2021
Água Limpa,GO,3.2,0.14,2021
Aguanil,MG,0.3,7.15,2021
Água Santa,RS,0.51,14.6,2021
Águas da Prata,SP,0.5,5.6,2021
Águas de Chapecó,SC,0.62,7.69,2021
Águas de Santa Bárbara,SP,0.82,0.55,2021
Águas de São Pedro,SP,2.29,3.69,2021
Águas Frias,SC,2.89,3.1,2021
Agudos,SP,0.81,7.91,2021
Agudos do Sul,PR,1.2,38.96,2021
Aimorés,MG,0.11,13.04,2021
Alagoinhas,BA,0.75,4.87,2021
Alcântaras,CE,1.77,0.73,2021
Alcinópolis,MS,0.33,1.96,2021
Alegre,ES,0.59,1.25,2021
Alegrete,RS,0.63,0.85,2021
Alegria,RS,0.51,36.67,2021
Além Paraíba,MG,0.9,5.23,2021
Alexânia,GO,1.93,18.79,2021
Alfredo Chaves,ES,0.59,1.75,2021
Alfredo Marcondes,SP,1.23,3.09,2021
Almeirim,PA,0.34,3.23,2021
Almenara,MG,1.11,0.55,2021
Alpestre,RS,0.74,0.14,2021
Alpinópolis,MG,1.01,0.1,2021
Altinópolis,SP,0.94,7.64,2021
Alto Alegre,RS,0.55,21,2021
Alto Alegre,SP,0.67,0.5,2021
Alto Alegre dos Parecis,RO,0.53,8.56,2021
Alto Feliz,RS,1.1,22.56,2021
Alto Horizonte,GO,0.67,2.66,2021
Altônia,PR,1.68,1.45,2021
Alto Paraíso de Goiás,GO,1.6,9.97,2021
Alto Paraná,PR,0.66,26.33,2021
Alto Parnaíba,MA,0.26,12.14,2021
Alto Piquiri,PR,1.5,4.53,2021
Alto Rio Novo,ES,0.56,10.19,2021
Alto Santo,CE,0.98,0.33,2021
Alumínio,SP,0.8,8.11,2021
Alvarenga,MG,0.84,4.63,2021
Álvares Machado,SP,0.86,3.13,2021
Álvaro de Carvalho,SP,0.28,3.98,2021
Alvinlândia,SP,0.59,2.73,2021
Alvorada,RS,0.52,0.22,2021
Alvorada de Minas,MG,0.47,9.26,2021
Alvorada do Sul,PR,0.83,14.34,2021
Amambai,MS,0.59,17.99,2021
Amaporã,PR,0.21,7.69,2021
Amargosa,BA,1.42,2.71,2021
Americana,SP,0.78,1.27,2021
Américo de Campos,SP,2.4,3.41,2021
Ametista do Sul,RS,0.33,8.71,2021
Amorinópolis,GO,1.64,3.88,2021
Amparo,SP,0.6,0.86,2021
Ampére,PR,0.49,5.37,2021
Anahy,PR,0.72,4.77,2021
Ananindeua,PA,0.68,1.02,2021
Anápolis,GO,0.98,0.46,2021
Anaurilândia,MS,0.27,12.61,2021
Anchieta,ES,0.85,2.94,2021
Andirá,PR,0.76,3.67,2021
Andradas,MG,0.51,1.56,2021
Andradina,SP,0.79,6.6,2021
Angatuba,SP,0.34,21.1,2021
Angelina,SC,0.63,59.16,2021
Angra dos Reis,RJ,0.68,3.32,2021
Ângulo,PR,2.47,0.4,2021
Anhumas,SP,0.5,15.71,2021
Anicuns,GO,1.43,4.85,2021
Anita Garibaldi,SC,0.86,5.14,2021
Anitápolis,SC,1.12,6.83,2021
Anori,AM,0.5,0.28,2021
Anta Gorda,RS,1.11,25.87,2021
Antonina,PR,1.35,1.57,2021
Antônio João,MS,0.64,2.83,2021
Antônio Olinto,PR,0.57,18.89,2021
Antônio Prado,RS,0.75,14.71,2021
Aparecida,SP,0.67,0.15,2021
Aparecida de Goiânia,GO,0.73,0.48,2021
Aperibé,RJ,0.62,0.02,2021
Apiaí,SP,0.55,10.41,2021
Apiúna,SC,0.64,18.71,2021
Apucarana,PR,0.68,3.27,2021
Aquidabã,SE,0.8,0.2,2021
Arabutã,SC,1.96,2.1,2021
Aracaju,SE,1.17,0.25,2021
Aracati,CE,1.16,18,2021
Araçatuba,SP,0.89,0.72,2021
Araçoiaba da Serra,SP,0.81,1.03,2021
Aracruz,ES,0.71,1.75,2021
Aragarças,GO,1.62,0.86,2021
Araguaiana,MT,0.82,2.4,2021
Araguanã,TO,0.52,1.25,2021
Araguari,MG,0.74,1.62,2021
Araguatins,TO,1.07,5.88,2021
Aral Moreira,MS,0.54,2.18,2021
Arambaré,RS,1.11,1.84,2021
Arame,MA,0.89,7.15,2021
Arapeí,SP,0.38,23.6,2021
Arapiraca,AL,0.93,0.05,2021
Arapongas,PR,0.63,3.39,2021
Araporã,MG,2.25,5.09,2021
Arapuã,PR,0.72,16.84,2021
Araquari,SC,0.7,1.93,2021
Araraquara,SP,0.88,4.31,2021
Arari,MA,0.99,1.85,2021
Araricá,RS,0.42,13.11,2021
Araruna,PR,0.9,7.21,2021
Aratiba,RS,1.06,22.52,2021
Arauá,SE,0.65,0.36,2021
Araucária,PR,0.6,2.22,2021
Araxá,MG,0.66,3.92,2021
Arceburgo,MG,0.7,27.99,2021
Arcos,MG,1.04,3.15,2021
Arcoverde,PE,1.4,0.02,2021
Arealva,SP,0.71,8.97,2021
Areia Branca,SE,1.09,0.32,2021
Areias,SP,0.42,0.17,2021
Areiópolis,SP,0.76,2.16,2021
Arês,RN,0.49,0.04,2021
Argirita,MG,0.7,12.34,2021
Arinos,MG,0.92,4.78,2021
Ariquemes,RO,1.12,0.79,2021
Ariranha do Ivaí,PR,0.59,4.01,2021
Aroazes,PI,0.28,2.74,2021
Arraial do Cabo,RJ,1.63,1.2,2021
Arroio do Meio,RS,0.61,11.23,2021
Arroio do Tigre,RS,1.83,0.24,2021
Arroio Grande,RS,0.57,2.04,2021
Arujá,SP,0.87,0.02,2021
Arvoredo,SC,1.72,4.84,2021
Ascurra,SC,0.57,12.08,2021
Assaí,PR,0.62,8.96,2021
Assis,SP,0.94,3.86,2021
Assis Chateaubriand,PR,1,5.76,2021
Assunção do Piauí,PI,0.39,0.28,2021
Astolfo Dutra,MG,0.9,0.28,2021
Astorga,PR,1.02,5.52,2021
Atalaia,PR,1.02,10.21,2021
Atalanta,SC,0.48,39.8,2021
Atibaia,SP,0.9,4.54,2021
Atilio Vivacqua,ES,0.52,8.43,2021
Augusto Pestana,RS,0.53,1.49,2021
Autazes,AM,1.64,0.23,2021
Baixo Guandu,ES,0.57,2.68,2021
Baldim,MG,0.95,2.3,2021
Balneário Camboriú,SC,1.18,3.39,2021
Balneário Piçarras,SC,1.08,1.43,2021
Bálsamo,SP,0.6,6.25,2021
Balsa Nova,PR,0.54,5.21,2021
Banabuiú,CE,0.62,6.77,2021
Bandeira,MG,0.56,17.65,2021
Bandeira do Sul,MG,0.77,5.78,2021
Bandeirantes,PR,0.62,2.32,2021
Barão,RS,1.1,4.06,2021
Barão de Antonina,SP,0.62,9.2,2021
Barão de Cocais,MG,0.6,0.13,2021
Barão de Cotegipe,RS,0.52,5.23,2021
Bariri,SP,1.03,1.17,2021
Barra Bonita,SP,0.6,3.6,2021
Barracão,PR,0.58,11.62,2021
Barra de São Francisco,ES,0.77,0.55,2021
Barra de São Miguel,PB,0.67,0.8,2021
Barra do Guarita,RS,0.58,7.35,2021
Barra do Jacaré,PR,0.87,21.67,2021
Barra do Piraí,RJ,0.51,1.73,2021
Barra do Quaraí,RS,1.11,8.2,2021
Barra do Turvo,SP,0.88,13.77,2021
Barra Mansa,RJ,0.58,1.9,2021
Barreiras do Piauí,PI,0.85,2.5,2021
Barretos,SP,0.77,0.31,2021
Barro,CE,1.78,0.06,2021
Barroso,MG,0.51,3.73,2021
Barueri,SP,0.93,3.54,2021
Bastos,SP,0.44,2.46,2021
Bataguassu,MS,0.81,4.64,2021
Bauru,SP,0.6,0.04,2021
Bebedouro,SP,0.68,0.01,2021
Bela Cruz,CE,0.99,0.14,2021
Bela Vista de Goiás,GO,1.3,11.05,2021
Bela Vista do Paraíso,PR,0.95,2.41,2021
Belém,PA,0.69,1.46,2021
Belo Horizonte,MG,0.85,0.72,2021
Belo Oriente,MG,0.44,3.55,2021
Belo Vale,MG,0.47,20.9,2021
Benedito Leite,MA,0.12,4.63,2021
Benedito Novo,SC,0.27,5.9,2021
Benevides,PA,1.15,0.67,2021
Bento Gonçalves,RS,1.05,26.11,2021
Berilo,MG,0.29,3.38,2021
Bernardino Batista,PB,1.36,15.15,2021
Bertioga,SP,1.59,2,2021
Betim,MG,0.52,5.44,2021
Biguaçu,SC,0.56,4.5,2021
Bilac,SP,0.77,9.48,2021
Biritiba-Mirim,SP,0.51,1.3,2021
Bituruna,PR,0.57,30.64,2021
Blumenau,SC,0.7,4.51,2021
Boa Esperança,ES,0.64,3.73,2021
Boa Esperança,MG,0.98,7.55,2021
Boa Esperança,PR,0.49,1.2,2021
Boa Esperança do Iguaçu,PR,0.93,10.88,2021
Boa Nova,BA,0.16,1.39,2021
Boa Ventura de São Roque,PR,1.03,0.94,2021
Boa Viagem,CE,1.44,1.12,2021
Boa Vista,RR,0.72,16.17,2021
Boa Vista da Aparecida,PR,0.78,13.37,2021
Boa Vista das Missões,RS,0.59,12.23,2021
Boa Vista do Buricá,RS,0.55,8.78,2021
Boa Vista do Incra,RS,0.66,0.53,2021
Boa Vista do Ramos,AM,0.56,1.11,2021
Boa Vista do Tupim,BA,1.19,0.22,2021
Bocaiúva,MG,0.42,0.82,2021
Bocaiúva do Sul,PR,0.52,1.51,2021
Bodoquena,MS,1.18,19.68,2021
Boituva,SP,0.89,4.73,2021
Bom Despacho,MG,1.34,0.68,2021
Bom Jardim,MA,1.02,0.24,2021
Bom Jardim,RJ,0.68,1.88,2021
Bom Jesus,PI,1.21,14.35,2021
Bom Jesus,RS,1.22,3.87,2021
Bom Jesus do Amparo,MG,0.52,4.14,2021
Bom Jesus do Itabapoana,RJ,0.48,9.56,2021
Bom Jesus do Sul,PR,1.01,2.01,2021
Bom Princípio,RS,0.46,21.61,2021
Bom Progresso,RS,1.96,32.04,2021
Bom Retiro do Sul,RS,0.58,1.51,2021
Bonfinópolis,GO,0.18,1.8,2021
Bonito,MS,1.62,1.1,2021
Bonópolis,GO,0.48,0.06,2021
Boquim,SE,0.87,1.08,2021
Borá,SP,0.62,5.26,2021
Borba,AM,1.98,2.23,2021
Borborema,PB,0.76,5.59,2021
Borborema,SP,0.76,16.32,2021
Borebi,SP,0.72,24.04,2021
Borrazópolis,PR,0.85,20.75,2021
Bossoroca,RS,0.34,16.06,2021
Botelhos,MG,0.31,13.1,2021
Botucatu,SP,0.69,1.62,2021
Botuporã,BA,0.96,8.18,2021
Botuverá,SC,0.84,6.8,2021
Braço do Norte,SC,0.68,3.25,2021
Braço do Trombudo,SC,0.87,32.18,2021
Braga,RS,1.78,29.01,2021
Bragança,PA,0.74,0.3,2021
Bragança Paulista,SP,1,1.42,2021
Braganey,PR,0.67,6.34,2021
Brasilândia,MS,0.67,3.65,2021
Brasilândia do Sul,PR,0.62,36.59,2021
Brasília,DF,0.72,2.05,2021
Braúna,SP,2.17,1.29,2021
Brazópolis,MG,0.49,13.23,2021
Brejetuba,ES,0.53,0.17,2021
Brejo do Piauí,PI,0.34,5.74,2021
Brejo Santo,CE,0.92,1.62,2021
Brochier,RS,0.85,10.45,2021
Brotas,SP,0.91,4.65,2021
Brumadinho,MG,0.7,3.8,2021
Brumado,BA,1.07,1.57,2021
Brunópolis,SC,1.13,11.69,2021
Brusque,SC,0.67,1.75,2021
Bueno Brandão,MG,0.34,14.81,2021
Bugre,MG,0.77,3.24,2021
Buíque,PE,0.36,0.65,2021
Buritama,SP,2.62,29.97,2021
Buriti Alegre,GO,0.88,0.44,2021
Buriticupu,MA,2.96,0.37,2021
Buriti de Goiás,GO,0.91,2.56,2021
Buritinópolis,GO,0.6,6.83,2021
Buritis,MG,0.38,5.84,2021
Buritis,RO,0.16,19.83,2021
Caarapó,MS,0.95,7.61,2021
Cabaceiras do Paraguaçu,BA,2.15,0.1,2021
Cabeceiras,GO,0.48,1.64,2021
Cabreúva,SP,0.76,1.33,2021
Caçador,SC,0.45,4.34,2021
Caçapava,SP,0.67,0.73,2021
Cáceres,MT,0.91,3,2021
Cachoeira de Minas,MG,0.45,13.77,2021
Cachoeira do Sul,RS,0.82,2.71,2021